split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_04_to_2025_05,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,388315,19642,0.9893086243763364,0.50041203131438,0.9953009689062154,0.9196185747413059,0.01259888047747177
2025_04_to_2025_05,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,388315,19642,0.9904286732511964,0.5009785743716523,0.9955077515694646,0.9213830268263756,0.01216808385616638
2025_04_to_2025_05,No prototype affinity,False,True,True,True,True,0,0,1.0,19,388315,19642,0.9909886976886264,0.5012618459002884,0.9957890100121765,0.924885652577152,0.012344333430212674
2025_04_to_2025_05,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,388315,19642,0.9899704714387537,0.5007468067573135,0.9952817844860892,0.9199901314452121,0.012314101519861429
2025_04_to_2025_05,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,388315,19642,0.9705732613786784,0.49093531108364236,0.9870832765220489,0.8182594113312975,0.0187179285178544
2025_04_to_2025_05,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,388315,19642,0.9893086243763364,0.50041203131438,0.9953009689062154,0.9196185747413059,0.018357055646200212
2025_05_to_2025_06,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,382303,26670,0.9712410948631421,0.6775391697836834,0.9936936181426848,0.9158850266550491,0.017124275802809556
2025_05_to_2025_06,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,382303,26670,0.9722534683164604,0.6782454029452538,0.9938894481860068,0.9165202487871428,0.016965707450378745
2025_05_to_2025_06,No prototype affinity,False,True,True,True,True,0,0,1.0,19,382303,26670,0.9736407949006374,0.679213203944443,0.9940450900621166,0.9191966630046465,0.01738676436846749
2025_05_to_2025_06,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,382303,26670,0.971278590176228,0.6775653265674453,0.9937635615519773,0.9160691011155077,0.017017954003422923
