split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_09_to_2025_10,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,396028,16316,0.9940549154204462,0.4095396813372724,0.9960669865934857,0.918263629724226,0.010453669188288587
2025_09_to_2025_10,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,396028,16316,0.9941774944839421,0.40959018256192714,0.9962503450506116,0.918208892042133,0.010402710309617395
2025_09_to_2025_10,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,396028,16316,0.994483942142682,0.40971643562356386,0.9961148969641931,0.9167288311406464,0.010447215999704986
2025_10_to_2025_11,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,356333,16607,0.9924128379598964,0.46250771734859963,0.9959088879315801,0.9249959703772208,0.012727161492988972
2025_10_to_2025_11,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,356333,16607,0.9924730535316433,0.46253578043441657,0.9958361320131748,0.9243936808526086,0.012773037226798007
2025_10_to_2025_11,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,356333,16607,0.9918708978141747,0.4622551495762474,0.9958009834866901,0.9236591328660428,0.012871254977676034
2025_10_to_2025_11,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,356333,16607,0.9916902510989342,0.4621709603187967,0.9958170454745751,0.9251722635460202,0.0120105161837156
2025_10_to_2025_11,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,356333,16607,0.992171975672909,0.46239546500533196,0.9958048016629227,0.9232834529229096,0.012556027661387355
2025_10_to_2025_11,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,356333,16607,0.9934967182513398,0.4630128528933041,0.9959987404313139,0.9260802299561041,0.012705210067356166
2025_10_to_2025_11,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,356333,16607,0.9926537002468838,0.4626199696918673,0.9959996525467605,0.9252452781357623,0.012814631470986545
2025_10_to_2025_11,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,356333,16607,0.992593484675137,0.4625919066060504,0.9960458928650091,0.9263151994509119,0.012799840419459143
2025_11_to_2025_12,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,362076,21431,0.9793290093789371,0.5796509058771542,0.9930760253928991,0.8980881117873725,0.017577239088997623
2025_11_to_2025_12,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,362076,21431,0.9793290093789371,0.5796509058771542,0.9929381326606213,0.8985729620753837,0.01761422810672951
2025_11_to_2025_12,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,362076,21431,0.9788157342167888,0.5793471056120194,0.9929203378605422,0.8988085167401797,0.01763833532076633
2025_11_to_2025_12,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,362076,21431,0.9785824273249032,0.5792090145824127,0.9932103035103942,0.898776069874724,0.016363169421181423
2025_11_to_2025_12,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,362076,21431,0.9786757500816574,0.5792642509942554,0.992964311495856,0.8965417197701455,0.01745758440286531
2025_11_to_2025_12,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,362076,21431,0.9797489617843311,0.5798994697304463,0.9930050305669768,0.8981728183169111,0.01798838111163225
2025_11_to_2025_12,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,362076,21431,0.9802622369464794,0.5802032699955811,0.9932239991992342,0.9000507621556091,0.01777558482649805
2025_11_to_2025_12,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,362076,21431,0.9796089776491997,0.5798166151126822,0.9930658814452555,0.8994885164271376,0.017924677166447918
