split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_09_to_2025_10,SDS-KB,10,0.6666666666666666,0.7333333333333333,867,0.698415641520181,0.3933102652825836
2025_09_to_2025_10,SDS-KB,11,0.7333333333333333,0.8,1816,0.7533803155084158,0.5060572687224669
2025_09_to_2025_10,SDS-KB,12,0.8,0.8666666666666667,2226,0.8290182315222615,0.6486972147349506
2025_09_to_2025_10,SDS-KB,13,0.8666666666666667,0.9333333333333333,3710,0.9225241840001527,0.8118598382749326
2025_09_to_2025_10,SDS-KB,14,0.9333333333333333,1.0,9398,0.9895717516363396,0.9507341987656949
2025_10_to_2025_11,SDS-KB,0,0.0,0.06666666666666667,326255,0.0019902295376489684,0.00064060320914622
2025_10_to_2025_11,SDS-KB,1,0.06666666666666667,0.13333333333333333,4278,0.09331067297958279,0.0292192613370734
2025_10_to_2025_11,SDS-KB,2,0.13333333333333333,0.2,7,0.17093793618655045,0.2857142857142857
2025_10_to_2025_11,SDS-KB,3,0.2,0.26666666666666666,967,0.2290314157652588,0.057911065149948295
2025_10_to_2025_11,SDS-KB,4,0.26666666666666666,0.3333333333333333,1703,0.282137445687733,0.062243100411039344
2025_10_to_2025_11,SDS-KB,5,0.3333333333333333,0.4,1597,0.3553387880284476,0.1327489041953663
2025_10_to_2025_11,SDS-KB,6,0.4,0.4666666666666667,122,0.41705346440633057,0.1885245901639344
2025_10_to_2025_11,SDS-KB,7,0.4666666666666667,0.5333333333333333,1072,0.48097646295313573,0.21828358208955223
2025_10_to_2025_11,SDS-KB,8,0.5333333333333333,0.6,1,0.5840708006960288,0.0
2025_10_to_2025_11,SDS-KB,9,0.6,0.6666666666666666,1,0.6228379620758163,0.0
2025_10_to_2025_11,SDS-KB,10,0.6666666666666666,0.7333333333333333,2112,0.685897387369771,0.3248106060606061
2025_10_to_2025_11,SDS-KB,11,0.7333333333333333,0.8,652,0.7403893311078084,0.40797546012269936
2025_10_to_2025_11,SDS-KB,12,0.8,0.8666666666666667,1966,0.8061530533543986,0.4755849440488301
2025_10_to_2025_11,SDS-KB,13,0.8666666666666667,0.9333333333333333,2141,0.9138477281126707,0.6534329752452125
2025_10_to_2025_11,SDS-KB,14,0.9333333333333333,1.0,13459,0.9810732835609245,0.917898803774426
2025_11_to_2025_12,SDS-KB,0,0.0,0.06666666666666667,324127,0.002980378126685566,0.0011569539100414344
2025_11_to_2025_12,SDS-KB,1,0.06666666666666667,0.13333333333333333,1160,0.11771044806319689,0.03362068965517241
2025_11_to_2025_12,SDS-KB,2,0.13333333333333333,0.2,3906,0.14309696801470212,0.05888376856118792
2025_11_to_2025_12,SDS-KB,3,0.2,0.26666666666666666,1102,0.26352483252833836,0.0925589836660617
